TABLE01_AD3_account_id,TABLE01_AD3_user_account_id,TABLE01_AD3_lifetime_amount
217957M_BRONZE,MARGY B,1410
217970M_BRONZE,MERLENE Z,60
218036M_BRONZE,MISS X,5
218040K_BRONZE,KIYOKO Q,1
218075E_BRONZE,ELWOOD R,558
218146K_BRONZE,KARYL E,150
218153L_BRONZE,LIONEL O,225
218163E_GOLD,EVONNE C,125
218165C_BRONZE,CLARA F,20
218177E_BRONZE,ELINOR W,975
218184J_GOLD,JACKELYN E,1130
218195L_BRONZE,LARHONDA A,75
218217R_BRONZE,REMONA J,10
218284E_GOLD,EARL U,10
218317R_BRONZE,REUBEN O,25
218338S_BRONZE,SHIZUKO V,650
218346O_BRONZE,OUIDA W,110
218348K_BRONZE,KAREY V,20
218395M_BRONZE,MIGDALIA G,10
218413L_BRONZE,LELAND D,2
218422R_BRONZE,RACHELE K,2080
218437M_SILVER,MARLANA T,50
218444V_SILVER,VAL P,125
218455C_GOLD,CORY T,50
218489T_SILVER,TONEY I,755
218526R_SILVER,REBECCA B,71
218529S_SILVER,SANTANA X,650
218606M_SILVER,MINH F,20
218616S_SILVER,SALLIE Q,10
218619B_SILVER,BURTON B,30
218630E_SILVER,ELOY S,50
218634L_SILVER,LIZETH T,260
218641L_SILVER,LATONIA V,90
218649U_SILVER,USHA R,10
218685L_SILVER,LUCIANA R,2000
218689J_SILVER,JEROMY H,150
218694N_SILVER,NOEMI A,475
218696J_SILVER,JULIENNE W,10
218702T_SILVER,TONI R,20
218717L_SILVER,LACI P,250
218726L_SILVER,LEONARD Y,20
218781W_GOLD,WILBUR I,600
218826S_SILVER,SONA L,475
218836C_SILVER,CHRIS Q,100
218852C_SILVER,CHRISSY W,20
218874T_SILVER,TREASA B,50
218883J_SILVER,JESUSA Q,5
218923R_SILVER,RIMA K,40
218943R_SILVER,RUSSELL M,55
218946L_SILVER,LORIANN O,5
218964G_SILVER,GERI H,20
219010H_GOLD,HOUSTON P,1130
219087P_BRONZE,PAULENE Q,20
219102A_BRONZE,ANH U,30
219128M_BRONZE,MARISA J,20
219132J_BRONZE,JEREMIAH K,12
219142P_BRONZE,PHUONG Z,150
219160R_BRONZE,ROLANDA O,35
219257V_BRONZE,VONCILE Y,5
219261C_BRONZE,CHARLETTE T,250
219267M_BRONZE,MIESHA J,25
219315E_GOLD,ED T,20
219352T_BRONZE,THELMA B,25
219357C_BRONZE,CLIFTON W,600
219389D_GOLD,DEMETRIUS X,10
219390M_BRONZE,MARLA H,20
219409A_BRONZE,ANTIONE U,60
219420K_BRONZE,KRYSTINA R,60
219435E_BRONZE,ELDORA I,40
219444E_BRONZE,ELMIRA H,20
219450Y_BRONZE,YANG K,15
219463J_BRONZE,JUSTINA R,10
219471D_GOLD,DENA V,375
219486T_BRONZE,TRACEY W,10
219495A_BRONZE,ANGLEA T,10
219517G_BRONZE,GLENDA N,90
219521V_BRONZE,VIRGEN S,50
219555R_BRONZE,RACHEAL Z,20
219585K_BRONZE,KIERA M,580
219596S_BRONZE,SHERLENE U,15
219618R_BRONZE,REGENIA K,15
219633M_BRONZE,MARIANNE W,475
219685M_BRONZE,MARCOS D,37.25
219707H_GOLD,HARMONY J,50
219708Z_SILVER,ZOLA X,465
219764J_SILVER,JUNIE J,25
219777L_SILVER,LACIE A,10
219781T_SILVER,THI W,375
219804L_SILVER,LESLI Q,55
219866F_SILVER,FLORANCE N,20
219875F_SILVER,FREDERICA K,20
219891J_SILVER,JACQUELYN P,30
219976S_SILVER,SHALONDA Z,5
219983C_SILVER,CORDIE A,20
220046N_SILVER,NELLIE I,10
220066D_SILVER,DANETTE K,20
220101A_SILVER,AUDRY G,10
220113A_SILVER,ALYSSA L,10
220136S_SILVER,SIXTA J,50
220177R_SILVER,RHIANNON Q,360
220182L_SILVER,LEONARD K,20
220198S_SILVER,SHANTI G,10
220228L_SILVER,LASHON Z,20
220238P_SILVER,PARIS W,20
220272D_SILVER,DILLON A,5
220284J_SILVER,JACKIE E,20
220286S_SILVER,SHANTELL J,20
220299T_SILVER,TONEY Z,16
220326R_SILVER,RACHAEL H,25
220363M_SILVER,MALISA J,20
220367J_BRONZE,JACQUALINE U,40
220422J_BRONZE,JEANMARIE N,25
220447J_BRONZE,JOYA H,250
220496L_BRONZE,LAVONIA E,60
220555M_BRONZE,MARIEL K,5
220580D_BRONZE,DELBERT F,25
220595P_BRONZE,PENNIE S,6
220645R_BRONZE,ROSEANN B,5
220660S_BRONZE,SID D,155
220671R_BRONZE,ROSAMOND X,5
220677J_BRONZE,JAQUELYN T,70
220692L_BRONZE,LOUISA L,25
220694L_BRONZE,LETISHA S,1050
220697J_BRONZE,JOSHUA L,425
220700G_BRONZE,GAYE D,20
220712G_GOLD,GWEN K,20
220758P_BRONZE,PAMELA O,50
220802J_BRONZE,JUSTINA A,8
220816S_BRONZE,SCOT I,25
220903D_BRONZE,DAMARIS I,35
220917L_BRONZE,LAVENIA M,50
220918W_GOLD,WENDOLYN Y,40
220924E_GOLD,ETHELYN N,20
220961B_BRONZE,BELINDA A,20
220979G_BRONZE,GARNETT L,35
220980E_GOLD,ESTELL F,1263.13
220984R_BRONZE,REAGAN I,10
220989R_BRONZE,REUBEN Z,80
220998M_BRONZE,MICAELA Q,5
221066B_BRONZE,BRONWYN H,100
221067N_BRONZE,NGOC A,6
221072A_BRONZE,ALPHONSE G,1000
221084L_GOLD,LYLA K,40
221095J_GOLD,JOHNIE E,10
221096R_GOLD,REYES H,30
221113P_GOLD,PORSCHE A,25
221131K_BRONZE,KHADIJAH X,5
221151D_BRONZE,DEWEY H,55
221162M_BRONZE,MARGORIE W,20
221163C_BRONZE,CARISA H,11
221168M_BRONZE,MANUELA J,200
221189R_BRONZE,RACQUEL V,90
221208Y_BRONZE,YAN F,35
221234M_BRONZE,MARIO S,20
221234S_BRONZE,SARAN M,150
221305S_BRONZE,SHERLEY K,42980.21
221330R_BRONZE,ROSARIA B,60
221333R_BRONZE,RICO D,10
221347O_BRONZE,OZELLA P,10
221349S_GOLD,STAR G,1500
221355S_BRONZE,SERGIO T,30
221356F_GOLD,FAY C,1200
221382F_GOLD,FABIAN K,25
221383A_GOLD,ALDO S,20
221428L_BRONZE,LORI H,140
221492D_GOLD,DELTA O,20
221492K_BRONZE,KIMBRA X,200
221523B_BRONZE,BARBAR A,35
221537L_BRONZE,LASONYA P,20
221558K_BRONZE,KAYE R,10
221577L_BRONZE,LAILA A,50
221600I_GOLD,IVELISSE S,1200
221610S_BRONZE,SUNNY T,25
221659J_BRONZE,JERRI P,225
221678D_BRONZE,DEVON Y,5
221679V_BRONZE,VIOLETTE Y,35
221687J_BRONZE,JEREMY G,4050
221690B_BRONZE,BRADLY B,10
221713M_BRONZE,MAGARET G,275
221725R_BRONZE,REBECA M,35
221726M_BRONZE,MANY Q,700
221729P_BRONZE,PHIL Q,10
221759T_BRONZE,TAMESHA K,20
221786T_BRONZE,TOVA W,20
221792C_BRONZE,CORINNE B,20
221794F_BRONZE,FLORENCIO U,5
221796M_BRONZE,MARGHERITA N,10
221811K_BRONZE,KATHRYN J,558
221842K_BRONZE,KAYLEIGH Q,700
221870D_BRONZE,DEIDRE H,5
221873S_BRONZE,STEVEN H,20
221876K_BRONZE,KOURTNEY G,50
221919K_BRONZE,KACY D,1500
221925T_GOLD,TOBY U,20
221929S_BRONZE,SHARI W,100
221954I_GOLD,IESHA G,235.5
221987C_BRONZE,CHARLA J,120
221993M_BRONZE,MORTON N,1263.13
222006V_BRONZE,VERNITA D,1
222025L_BRONZE,LAUREN J,10
222051E_BRONZE,ELDA R,1300
222075K_BRONZE,KIANA O,150
222092R_BRONZE,ROMAN T,30
222115M_BRONZE,MICHAELA U,1200
222136C_BRONZE,CIERA W,20
222141G_BRONZE,GARNETT U,50
222166N_BRONZE,NANNETTE K,10
222170V_BRONZE,VALORIE S,15
222191M_BRONZE,MIRTHA P,60
222217E_GOLD,EDISON O,745.4
222237I_GOLD,IRIS Q,20
222243D_BRONZE,DELMER X,10
222312D_BRONZE,DOLORIS A,20
222324M_BRONZE,MARCO G,40
222378P_BRONZE,PAULINA O,50
222406M_BRONZE,MIYOKO T,10
222431R_BRONZE,ROBT L,10
222436I_GOLD,INGRID L,25
222439J_BRONZE,JENE K,100
222452E_GOLD,EZEKIEL K,20
222452L_BRONZE,LOYD W,25
222473M_BRONZE,MARICA N,10
222521P_BRONZE,PARKER I,10
222524J_BRONZE,JULIA A,20
222567B_BRONZE,BEATRIZ X,2655
222579T_BRONZE,TRACY V,75
222587A_BRONZE,AVA A,20
222600K_BRONZE,KAYE I,150
222601R_BRONZE,RENEE C,25
222616T_GOLD,TRUDIE F,700
222648T_SILVER,TELMA D,50
222704S_SILVER,SHONDA F,20
222712A_SILVER,ARLEEN J,35
222785N_SILVER,NIKITA L,100
222826L_SILVER,LYNDON G,4
222854K_SILVER,KEENA U,10
222877J_SILVER,JAMEY H,40
222890G_SILVER,GINA W,20
222909T_SILVER,TEODORA S,4375
222947M_SILVER,MILTON Y,30
222948L_SILVER,LYNSEY V,10
223038I_GOLD,INOCENCIA G,15
223085V_SILVER,VERDA P,200
223089C_GOLD,CARLIE J,5
223104R_SILVER,REBECCA K,50
223211E_SILVER,ELNORA V,500
223217R_SILVER,RUBEN T,31
223276H_GOLD,HA B,22.31
223399A_SILVER,ANTOINETTE H,25
223414T_GOLD,TINISHA A,20
223464L_SILVER,LYNDA F,60
223473D_SILVER,DANE E,10
223484M_SILVER,MERIDITH P,50
223497V_SILVER,VANESSA B,20
223540M_SILVER,MARVIN U,800
223654E_GOLD,ERNA H,45
223679G_GOLD,GREGORIO D,15
223698E_SILVER,ELBA L,50370
223737A_GOLD,ALFONZO A,10
223739O_SILVER,ODA C,200
223745T_SILVER,THEDA F,25
223776R_SILVER,RAYLENE Z,900
223788E_GOLD,EVELYNE G,25
223819A_SILVER,ALPHONSO V,710
223824K_SILVER,KIT K,20
223862I_GOLD,ISIS O,250
223904J_SILVER,JERAMY A,50
223917T_SILVER,TAMISHA F,10
223943D_SILVER,DIXIE P,10
223950C_SILVER,COLIN O,10
223955L_SILVER,LAZARO Q,75
223971K_SILVER,KATIA L,450
223974S_SILVER,SHU K,20
223989K_SILVER,KASIE U,25
224010M_SILVER,MONROE U,120
224035M_SILVER,MAURINE U,35
224047B_SILVER,BEAU J,50
224054L_SILVER,LOUVENIA D,20
224065D_SILVER,DELISA E,150
224074C_GOLD,CRISTIE Y,20
224077F_SILVER,FRANKLIN N,5
224154H_GOLD,HENRY N,10
224160C_GOLD,CARMA R,5
224185A_GOLD,AL P,50
224203M_SILVER,MARQUITA L,250
224208N_SILVER,NANCI W,50
224242A_GOLD,ADELLA O,20
224243B_SILVER,BRINDA X,1832.1
224249K_SILVER,KRISTYN G,109
224250R_SILVER,REYNALDA T,50
224291M_SILVER,MEAGHAN E,675
224305O_SILVER,ODA X,20
224310L_SILVER,LAVONE M,20
224340I_GOLD,ISA P,25
224357J_BRONZE,JERALDINE Z,50
224360H_GOLD,HERTA E,85
224368T_BRONZE,TAUNYA A,40
224400A_GOLD,AGNES B,50
224400K_BRONZE,KATHERINA T,20
224420L_BRONZE,LURLINE P,35
224431C_BRONZE,CASSIDY U,35
224446K_BRONZE,KEILA V,625
224499T_BRONZE,TRENA U,25
224517R_BRONZE,RIVKA L,10
224518J_BRONZE,JOYE B,2
224524L_BRONZE,LORRIANE L,40
224530N_BRONZE,NADIA M,75
224565K_BRONZE,KATHLEEN B,185
224584S_BRONZE,SALINA S,35
224598A_BRONZE,ANA P,5
224609F_BRONZE,FRANKLYN R,30
224609K_BRONZE,KELLI V,100
224636D_GOLD,DONNY B,5075
224642M_BRONZE,MARVEL O,50
224731B_BRONZE,BURT U,200
224756C_BRONZE,CORETTA S,400
224778D_GOLD,DEMETRICE G,5
224790S_BRONZE,SHARONDA N,190
224792R_BRONZE,ROSALINE T,740
224810B_SILVER,BAMBI M,20
224814M_SILVER,MARJORIE F,10
224818G_GOLD,GRAIG Y,1300
224852R_SILVER,RODERICK D,600
224985M_SILVER,MINTA V,10
224998M_SILVER,MARILOU O,675
225003L_SILVER,LUCIO T,20
225053E_SILVER,ELIZEBETH A,1105
225072B_SILVER,BOBBI D,240
225092C_SILVER,CECILE J,5
225129M_SILVER,MALLORY M,37
225139V_SILVER,VERENA N,40
225158S_SILVER,SHERIKA L,25
225181R_SILVER,RAFAELA Z,10
225272I_GOLD,IDELLA V,450
225320J_SILVER,JIMMY O,300
225388M_SILVER,MARISOL X,800
225389R_SILVER,RUTHE K,35
225411R_SILVER,RODGER O,20
225454C_BRONZE,CLEMENTINE U,1130
225521L_BRONZE,LAURALEE Y,20
225615R_BRONZE,RICHIE W,25
225630H_GOLD,HALEY L,20
225636M_BRONZE,MAGALY U,486079.77
225651N_BRONZE,NENITA T,1900
225678F_BRONZE,FRANCES V,60
225714P_BRONZE,PENNI P,25
225724M_BRONZE,MAGAN Y,20
225738T_BRONZE,TWYLA Q,600
225764A_BRONZE,ALTON S,130
225768T_BRONZE,TA X,30
225809H_GOLD,HANNELORE D,50
225847L_BRONZE,LYNWOOD D,100
225859D_GOLD,DONTE R,20
225870A_BRONZE,ASHLYN H,2600
225898Q_BRONZE,QUEEN M,150
225906N_BRONZE,NICHELLE T,350
225934T_BRONZE,TOVA P,30
225973G_GOLD,GUILLERMO G,50
225988C_GOLD,CARMEL T,200
225988H_GOLD,HENRIETTE H,150
225996O_BRONZE,OFELIA Y,25
226010L_BRONZE,LOIDA V,1450
226100A_BRONZE,ANASTACIA T,100
226105S_BRONZE,STASIA J,50
226206A_BRONZE,AURA T,450
226234R_BRONZE,ROZELLA F,100
226237N_BRONZE,NICK U,20
226258A_SILVER,ALVA L,110
226292M_SILVER,MING Q,1
226300J_SILVER,JUNG C,5075
226376T_SILVER,TEODORA M,40
226405O_SILVER,ODIS H,2
226423T_GOLD,TOBIAS Z,30
226453L_SILVER,LAKEISHA S,110
226474W_GOLD,WILHELMINA R,330
226481C_SILVER,CARRIE N,398
226526J_SILVER,JERRY F,25
226538S_SILVER,SHAUNTA I,20
226574G_GOLD,GRETTA P,10
226580A_GOLD,ALEIDA S,10
226581C_SILVER,CLEO Q,119.31
226612J_SILVER,JACQUILINE N,1000
226618G_GOLD,GREG L,30
226659K_SILVER,KERI Y,10
226772M_SILVER,MEG L,35
226774R_SILVER,RAFAEL Z,300
226850A_GOLD,ALEJANDRINA N,35
226855D_SILVER,DANETTE W,120
226862A_SILVER,ANJANETTE J,300
226924C_SILVER,CLEMENT B,35
226954L_SILVER,LUELLA R,35
226991T_SILVER,TERICA H,10
227040S_SILVER,SHARA I,25
227044P_SILVER,PAMELLA K,710
227065K_SILVER,KASI S,50
227073K_SILVER,KASIE I,1300
227081K_SILVER,KRISTOPHER V,10
227099S_GOLD,SONNY X,6
227108R_SILVER,RAEANN K,2259.25
227195A_GOLD,ALEJANDRINA M,35
227242M_SILVER,MELODEE Z,1615
227244L_SILVER,LAINE Q,100
227300W_SILVER,WILLIAN E,50370
227319D_SILVER,DOMENIC G,85
227361B_SILVER,BARTON H,70
227377C_SILVER,CINDI F,1400
227392R_SILVER,REA N,10
227404J_SILVER,JASMINE P,50
227467A_SILVER,ABBY U,25
227495T_SILVER,TANYA W,190
227504T_SILVER,THERESA U,25
227542B_SILVER,BEVERLY Y,2
227567S_SILVER,SABRA J,150
227624B_SILVER,BILL W,101795
227688R_SILVER,RAFAELA V,15
227715L_SILVER,LAURENCE P,100
227726L_SILVER,LOVIE X,20
227754E_GOLD,EASTER R,20
227796N_SILVER,NIGEL T,249
227847S_SILVER,SOMER X,100
227861P_SILVER,PHYLISS K,15
227868L_SILVER,LORIANN H,260
227878S_SILVER,SHEILAH X,30
227914C_SILVER,CECILE I,100
227935V_SILVER,VANDA R,425
228016M_SILVER,MARI L,425
228028A_GOLD,ALANNA V,125
228051J_SILVER,JERICA X,25
228084M_SILVER,MANUAL Y,80
228132P_SILVER,PHILIP F,50
228147W_GOLD,WILLARD J,215
228175S_SILVER,SAVANNAH C,1100
228200D_SILVER,DANNETTE A,2
228222W_GOLD,WANITA B,10
228243T_SILVER,TIFFINY S,733.53
228329H_GOLD,HYUN K,20
228331E_SILVER,ELYSE C,50
228389K_SILVER,KRISTYN Y,195
228410I_GOLD,ISELA U,35
228418M_SILVER,MAMIE S,300
228419L_SILVER,LITA E,1627722
228456C_GOLD,CARLINE C,100
228458J_SILVER,JOHNA C,240
228535S_SILVER,SHERIDAN H,20
228560B_SILVER,BRIDGETT F,100
228592D_SILVER,DOMENIC P,100
228609J_SILVER,JEANINE T,35
228624R_SILVER,RAYMUNDO T,20
228639J_SILVER,JAN I,20
228669S_SILVER,SUSANA K,50
228675G_SILVER,GENIE Z,20
228702I_GOLD,IVAN J,20
228712D_SILVER,DELMAR K,10
228714M_SILVER,MUOI L,20
228725S_SILVER,SUZI G,20
228734M_SILVER,MOSHE P,1924
228768T_GOLD,TRULA L,10
228772D_GOLD,DOROTHEA E,75
228778L_SILVER,LORENZO P,100
228789R_SILVER,ROSENA J,65
228814R_SILVER,ROSETTA H,20
228824C_SILVER,CHRISTIE Y,20
228873M_SILVER,MEE K,132.5
228925N_SILVER,NAKITA V,50
228940M_SILVER,MAUD T,180
229051J_SILVER,JESENIA Q,75
229054R_SILVER,REMA M,10
229061F_SILVER,FLOR E,1000
229090L_SILVER,LAVINA D,20
229091T_SILVER,TAMESHA N,10
229133L_SILVER,LONNIE D,35
229141T_SILVER,TAYNA W,15
229148R_SILVER,ROSEMARIE I,15
229164M_SILVER,MARGUERITE U,25
229195V_SILVER,VERONIQUE A,10
229249L_SILVER,LEXIE O,30
229306L_SILVER,LIZETTE U,15
229405L_SILVER,LENITA U,775.83
229424P_SILVER,PIERRE B,50
229465S_SILVER,SHAWNNA Q,20
229483N_SILVER,NANNETTE D,7
229486P_SILVER,PATTIE F,55
229494C_SILVER,CASSIE I,100
229494M_SILVER,MANDI V,1250
229522N_SILVER,NATHANAEL W,25
229533X_SILVER,XAVIER Y,354
229540M_SILVER,MANY A,55
229544B_SILVER,BIANCA Z,40
229560M_SILVER,MARGENE B,5
229567D_GOLD,DORETHA X,1500
229614D_GOLD,DORRIS I,50
229642L_SILVER,LATRICE N,15
229652A_SILVER,ANNEMARIE Q,115
229679J_SILVER,JERROLD B,90
229709N_SILVER,NEIL Q,27
229726M_SILVER,MARGHERITA L,128
229753M_SILVER,MELVINA Z,50
229755A_GOLD,ANDY B,571
229769K_SILVER,KANDY V,200
229774A_SILVER,ANASTASIA J,20
229827Z_SILVER,ZACHERY K,225
229857C_SILVER,CAROL B,100
229867T_SILVER,TANEKA D,20
229875M_SILVER,MARA W,30
229941E_SILVER,ELIJAH V,9950
229979E_GOLD,EMMY L,25
230008R_SILVER,RACQUEL H,25
230049S_SILVER,SHARMAINE P,260
230092V_SILVER,VADA J,5
230190B_SILVER,BROCK A,60
230206R_SILVER,ROSETTA T,35
230243M_SILVER,MEREDITH M,7
230251R_SILVER,RIVA Q,115.44
230263C_GOLD,CARMA V,10
230280M_SILVER,MISHA J,5
230304C_SILVER,CYTHIA O,10
230336E_GOLD,EARNEST U,50
230411D_SILVER,DION B,100
230497I_GOLD,ISAURA A,60
230504Z_SILVER,ZACKARY A,5
230522S_SILVER,SUELLEN S,1037.5
230531Y_SILVER,YUKO Q,18
230549F_SILVER,FRIEDA C,10
230589A_SILVER,ANDRES F,1
230662P_SILVER,PAMELIA N,20
230676L_SILVER,LEANNE L,10
230697L_SILVER,LIDIA S,50
230751S_SILVER,SABINE F,5
230785G_SILVER,GEORGIANA S,50
230802J_SILVER,JEANETT X,280
230832R_SILVER,ROSE D,4640
230887R_SILVER,REFUGIA F,65
230892I_GOLD,IVEY N,50
230919J_SILVER,JUANA A,5
230941T_SILVER,TWANNA H,10
231025R_SILVER,REGAN M,53
231047H_GOLD,HYO U,25
231105D_SILVER,DEB P,20
231107A_SILVER,ARACELY L,10
231130N_SILVER,NOEL T,40
231161T_SILVER,THELMA O,101795
231245E_GOLD,ENID R,300
231260V_GOLD,VENESSA G,20
231264T_SILVER,TERESSA D,35
231264U_SILVER,URSULA S,240
231290M_SILVER,MALCOLM C,10
231292A_SILVER,ANTONIO R,40
231308Y_SILVER,YURI E,1400
231314M_SILVER,MERI P,25
231373B_SILVER,BLANCH B,40
231400T_SILVER,TEODORO O,25
231460J_SILVER,JONG S,150
231471E_GOLD,EMERY X,50
231535E_SILVER,ELFRIEDE C,10
231589R_SILVER,ROSALIND H,20
231618U_SILVER,ULRIKE G,50
231703H_GOLD,HEDWIG G,15
231737M_SILVER,MADELEINE R,50
231739O_SILVER,OMEGA N,10
231763H_GOLD,HALEY F,700
231767L_SILVER,LURA T,10
231771Q_SILVER,QUINN G,100
231773B_SILVER,BURT L,35
231781B_SILVER,BRINDA I,60
231811L_SILVER,LORNA P,10
231838C_SILVER,CARROLL Q,10
231838V_SILVER,VICTORINA K,10
231883C_SILVER,CINDA E,10
231905V_SILVER,VIVAN E,40
231938H_GOLD,HOYT B,45
231946M_SILVER,MAFALDA O,250
231987J_SILVER,JACKELYN X,20
231999K_SILVER,KARLA J,1
232005S_SILVER,SHEMEKA B,10
232055Z_SILVER,ZADA I,25
232066S_SILVER,SARAH Q,580
232072B_GOLD,BERNITA J,20
232097M_SILVER,MILTON A,150
232107M_SILVER,MICHEL O,1000
232126L_SILVER,LETA N,70
232129A_GOLD,ALBERTINE I,10
232145J_SILVER,JERAMY K,15
232180M_SILVER,MAJOR Z,2
232196T_GOLD,TIMMY X,2000
232200J_SILVER,JENNETTE X,150
232230T_SILVER,TYRA L,200
232231H_GOLD,HILDEGARD Q,20
232233M_SILVER,MAURA R,105
232236M_SILVER,MICHAEL N,20
232253J_SILVER,JOHNNY T,45
232269J_SILVER,JESSIA N,5
232307L_SILVER,LON O,50
232344B_SILVER,BRITTNEY I,20
232363J_SILVER,JASMINE E,10
232370Y_SILVER,YOLANDE I,60
232385M_SILVER,MARGORIE Y,20
232389D_SILVER,DANYELLE V,15
232401T_SILVER,TRESA F,320
232435M_SILVER,MICKEY D,270
232444D_SILVER,DAMIAN O,10
232444R_SILVER,REFUGIO C,20
232454O_SILVER,ORALEE N,150
232457M_SILVER,MARIO Y,20
232494V_SILVER,VONDA N,370
232501L_SILVER,LUCINA E,500
232508B_SILVER,BENEDICT V,120
232536G_SILVER,GERTRUD C,200
232551C_SILVER,CLEOPATRA V,20
232566R_SILVER,RUTHIE Q,25
232575S_SILVER,SHA M,65750
232577S_SILVER,SHAWNEE V,25
232586M_SILVER,MAURITA H,60
232649I_GOLD,IMOGENE N,175
232677N_SILVER,NIKIA X,10
232698R_BRONZE,REBBECCA J,100
232707I_GOLD,ISABEL A,100
232723M_BRONZE,MAYA X,10
232735A_GOLD,ALBERT Y,20
232750K_BRONZE,KRISTAL J,1500
232811T_BRONZE,TORIE U,5800
232825L_BRONZE,LEIA E,25
232854D_BRONZE,DELICIA N,20
232944M_BRONZE,MADELEINE D,5075
232953A_BRONZE,ANDRIA M,5
232953J_BRONZE,JORDON L,20
232982J_BRONZE,JANEL J,35
233025F_BRONZE,FREDERICA Y,25
233029M_BRONZE,MERVIN S,100
233030M_BRONZE,MINNIE A,10
233036K_BRONZE,KATHRYNE M,40
233043L_BRONZE,LEENA M,20
233045N_BRONZE,NATISHA A,35
233102C_GOLD,CARMA P,100
233159C_BRONZE,CARON U,50
233176M_BRONZE,MASAKO S,2
233178T_BRONZE,TA A,580
233236A_GOLD,ALISA O,40
233242C_BRONZE,CLEO R,50
233292J_BRONZE,JAYME O,40
233300O_BRONZE,ONA T,20
233313S_BRONZE,SHAINA P,20
233327G_BRONZE,GEORGE Q,560
233332V_GOLD,VANITA Y,20
233334J_BRONZE,JACKELYN K,1
233347D_GOLD,DOREEN H,625
233352C_BRONZE,CLEMMIE H,20
233368E_GOLD,EDWINA Q,25
233375A_GOLD,ADOLFO J,1000
233418L_BRONZE,LISANDRA M,5
233442A_SILVER,ANTON Y,100
233449A_GOLD,ALIX E,15
233467L_SILVER,LIANA B,10
233514T_SILVER,TORY W,20
233538J_SILVER,JOLINE Q,50
233557L_SILVER,LEONILA V,50
233565K_SILVER,KYLA O,325
233599V_SILVER,VICENTA C,30
233600A_GOLD,ALI Z,280
233607J_SILVER,JULIANNA H,35
233665J_SILVER,JOHNATHAN M,575
233687E_SILVER,ELIJAH S,120
233719M_SILVER,MASAKO P,15
233720M_SILVER,MARINDA P,100
233807S_SILVER,SHAMEKA R,975
233877H_GOLD,HELEN J,175
233888D_GOLD,DOTTIE A,15
233932M_BRONZE,MASON O,60
233945I_GOLD,IDA W,440
233994Y_BRONZE,YASMIN E,700
234001N_BRONZE,NELLIE Y,25
234042R_SILVER,ROSLYN B,145
234049S_SILVER,SHARI L,360
234068M_SILVER,MILA Z,35
234095G_SILVER,GEORGE S,1
234124J_SILVER,JANNIE V,1000
234137H_GOLD,HALINA U,580
234161S_SILVER,SOILA L,30
234181E_GOLD,ED D,280
234224L_SILVER,LUCILLA S,40
234283S_SILVER,SUSANNE N,520
234292L_SILVER,LEILA P,700
234298K_SILVER,KIYOKO M,10
234318D_SILVER,DANIKA R,50
234335N_SILVER,NICK T,100
234383B_GOLD,BERTIE L,20
234394S_SILVER,SHAWN B,10
234402C_SILVER,CAITLIN L,25
234422D_SILVER,DANNIE G,5
234430A_GOLD,ADRIAN G,18
234460N_SILVER,NENITA U,5075
234466C_SILVER,CRISTIN L,10
234467C_SILVER,CODY Y,20
234477T_SILVER,TEQUILA A,25
234488M_SILVER,MIRNA O,70
234504R_SILVER,RUSS U,5
234505B_SILVER,BILLIE A,25
234512L_SILVER,LATRICIA N,35
234531L_SILVER,LYLE U,10
234576S_SILVER,SHERISE E,200
234587S_SILVER,SASHA I,50
234603C_SILVER,CHRISSY U,25
234623T_SILVER,THERSA N,25
234636J_SILVER,JEFFREY B,25
234642M_SILVER,MARLYN R,325
234649L_SILVER,LEANNE Q,15
234660L_SILVER,LEONORA P,80
234669G_SILVER,GINA N,50
234702L_SILVER,LARAE J,20
234714N_SILVER,NATHANAEL X,20
234715W_GOLD,WARREN Q,50
234729S_SILVER,SALENA T,10
234752M_SILVER,MARGO D,128
234767D_SILVER,DANYELLE I,95
234825L_SILVER,LUPITA T,10
234833E_GOLD,EMERSON K,100
234860E_SILVER,ELI Q,20
234866N_SILVER,NANCY B,225
234911L_SILVER,LACRESHA C,5
234927B_SILVER,BRITANY Z,225
234927C_SILVER,CHAYA X,580
234960A_SILVER,ARDELLA R,35
234974G_SILVER,GERTRUDE I,425
234983J_SILVER,JAMA J,12
235048T_GOLD,TRUDY O,25
235082C_SILVER,CONCEPCION E,35
235094J_SILVER,JOSIE G,786894.2
235124M_SILVER,MISTY Y,100
235172R_SILVER,RODGER V,20
235194A_SILVER,ASHLYN F,20
235199D_SILVER,DANTE V,25
235205S_SILVER,SINDY T,10
235236A_GOLD,ANGELE D,25
235247F_SILVER,FELISHA H,710
235275O_SILVER,OLYMPIA H,100
235281R_SILVER,ROXANNE L,20
235285M_SILVER,MARLIN B,20
235328A_SILVER,ARACELIS R,20
235338G_SILVER,GASTON N,10
235380A_SILVER,ANDERSON F,100
235385L_SILVER,LASHAWNA S,100
235403L_SILVER,LLOYD X,70
235422P_SILVER,PAULETTA H,20
235434B_SILVER,BABETTE E,1250
235466G_GOLD,GRAIG C,135
235504N_SILVER,NYDIA S,170
235519J_SILVER,JAIME X,60
235538T_SILVER,THADDEUS M,50
235572J_SILVER,JEANNETTA R,20
235594J_SILVER,JERRY T,100
235613P_SILVER,PHILIP Y,25
235615K_SILVER,KRISTIAN E,50
235628R_SILVER,ROSALVA E,15
235634M_SILVER,MAPLE Y,110
235648L_SILVER,LIANNE V,101795
